40 min; très facile; bon marché; https://www.marmiton.org/recettes/recette_boulettes-de-boeuf-scandinaves_18120.aspx
25 min; très facile; bon marché; https://www.marmiton.org/recettes/recette_spaghetti-carbonara-tres-simples_171430.aspx
1h20; facile; Coût moyen; https://www.marmiton.org/recettes/recette_fajitas-au-poulet_26631.aspx
35 min; facile; bon marché; https://www.marmiton.org/recettes/recette_pate-a-pizza-epaisse-et-moelleuse_58761.aspx
45 min; très facile; bon marché; https://www.marmiton.org/recettes/recette_soupe-de-courgettes-a-la-vache-qui-rit_19166.aspx
48 min; facile; bon marché; https://www.marmiton.org/recettes/recette_ravioli-aux-2-fromages_346873.aspx
5h10; facile; bon marché; https://www.marmiton.org/recettes/recette_tripes-a-la-mode-de-caen_13045.aspx
35 min; très facile; bon marché; https://www.marmiton.org/recettes/recette_escalopes-de-dinde-a-la-feta-et-tomates-cerises_33370.aspx
6h45; très facile; Coût moyen; https://www.marmiton.org/recettes/recette_la-garbure_41669.aspx
2h10; très facile; bon marché; https://www.marmiton.org/recettes/recette_bokit-recette-guadeloupeenne_80989.aspx
1h05; facile; bon marché; https://www.marmiton.org/recettes/recette_chakchouka_17562.aspx
5 h; Niveau moyen; Coût moyen; https://www.marmiton.org/recettes/recette_langue-de-boeuf-sauce-cornichons_52680.aspx
40 min; facile; Coût moyen; https://www.marmiton.org/recettes/recette_lotte-a-l-americaine_12569.aspx
35 min; facile; bon marché; https://www.marmiton.org/recettes/recette_boeuf-stroganoff_28441.aspx
35 min; facile; Coût moyen; https://www.marmiton.org/recettes/recette_cote-de-veau-aux-champignons_20459.aspx
